segment,timestamp,server_id,quality,bitrate_kbps,vazao_kbps,download_time_s,variacao de atraso (jitter)_network_ms,variacao de atraso (jitter)_ewma_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
1,2026-05-20T21:09:57.412688,A,240p,200,1167.02,0.171,0.0,0.0,1.0,0,1,1.0,0
2,2026-05-20T21:09:58.026463,A,480p,700,1140.48,0.614,383.57,76.71,2.38,1,0,0.0,0
3,2026-05-20T21:09:58.595153,A,480p,700,1230.9,0.569,1431.31,347.63,3.81,1,0,0.0,0
4,2026-05-20T21:09:59.153776,A,480p,700,1253.08,0.559,1441.38,566.38,5.26,1,0,0.0,0
5,2026-05-20T21:09:59.716499,A,480p,700,1243.95,0.563,1437.28,740.56,6.69,1,0,0.0,0
6,2026-05-20T21:10:00.314358,A,480p,700,1170.84,0.598,1402.14,872.88,8.1,1,0,0.0,0
7,2026-05-20T21:10:00.857961,A,480p,700,1287.7,0.544,1456.4,989.58,9.55,1,0,0.0,0
8,2026-05-20T21:10:01.426314,A,480p,700,1231.63,0.568,1431.65,1077.99,10.98,1,0,0.0,0
9,2026-05-20T21:10:02.022666,A,480p,700,1175.7,0.595,1403.65,1143.12,12.39,1,0,0.0,0
10,2026-05-20T21:10:02.600603,A,480p,700,1211.21,0.578,1422.06,1198.91,13.81,1,0,0.0,0
